sequence_length,model_dimension,precision,forward_time,backward_time,implementation
128,16,torch.bfloat16,6.296634674072266e-05,0.00037049055099487306,triton_kernel
128,16,torch.bfloat16,0.00482025146484375,0.0009536027908325195,pytorch_naive
128,16,torch.bfloat16,0.0034950733184814452,0.00106503963470459,pytorch_scaled_dot_product_attention
128,16,torch.float16,6.344318389892579e-05,0.00039087533950805665,triton_kernel
128,16,torch.float16,0.0029247045516967774,0.0009328007698059082,pytorch_naive
128,16,torch.float16,0.0027157187461853026,0.0009687066078186036,pytorch_scaled_dot_product_attention
128,16,torch.float32,0.00014623403549194336,0.0005459308624267579,triton_kernel
128,16,torch.float32,0.00271228551864624,0.0009279370307922364,pytorch_naive
128,16,torch.float32,0.0025699734687805176,0.0009868383407592774,pytorch_scaled_dot_product_attention
128,32,torch.bfloat16,0.00014443397521972655,0.000599515438079834,triton_kernel
128,32,torch.bfloat16,0.005671381950378418,0.0009677052497863769,pytorch_naive
128,32,torch.bfloat16,0.00629267692565918,0.0009972095489501954,pytorch_scaled_dot_product_attention
128,32,torch.float16,6.293058395385742e-05,0.0005856037139892578,triton_kernel
128,32,torch.float16,0.00015468597412109374,0.0007415413856506348,pytorch_naive
128,32,torch.float16,0.00022029876708984375,0.000898730754852295,pytorch_scaled_dot_product_attention
128,32,torch.float32,0.00015679597854614257,0.0006618022918701172,triton_kernel
128,32,torch.float32,0.00017617940902709962,0.0007383704185485839,pytorch_naive
128,32,torch.float32,0.0001807093620300293,0.000753474235534668,pytorch_scaled_dot_product_attention
128,64,torch.bfloat16,0.00014528036117553711,0.0005569934844970703,triton_kernel
128,64,torch.bfloat16,0.00011970996856689454,0.0009096026420593262,pytorch_naive
128,64,torch.bfloat16,0.0001629471778869629,0.0009704232215881348,pytorch_scaled_dot_product_attention
128,64,torch.float16,0.00010204315185546875,0.0006891965866088867,triton_kernel
128,64,torch.float16,0.0001599431037902832,0.0006258249282836914,pytorch_naive
128,64,torch.float16,0.00020809173583984374,0.0007685542106628418,pytorch_scaled_dot_product_attention
128,64,torch.float32,0.00014368295669555664,0.00048677921295166017,triton_kernel
128,64,torch.float32,0.0001688838005065918,0.0006979107856750488,pytorch_naive
128,64,torch.float32,0.00018018484115600586,0.0006978631019592286,pytorch_scaled_dot_product_attention
128,128,torch.bfloat16,0.00013487339019775392,0.0011302351951599122,triton_kernel
128,128,torch.bfloat16,0.0001224517822265625,0.000533890724182129,pytorch_naive
128,128,torch.bfloat16,0.00018525123596191406,0.0013965606689453126,pytorch_scaled_dot_product_attention
128,128,torch.float16,7.712841033935547e-05,0.0004408001899719238,triton_kernel
128,128,torch.float16,0.00023112297058105468,0.0007681012153625488,pytorch_naive
128,128,torch.float16,0.0002106308937072754,0.0006848335266113281,pytorch_scaled_dot_product_attention
128,128,torch.float32,0.0001516103744506836,0.0005763888359069825,triton_kernel
128,128,torch.float32,0.00015456676483154296,0.0005349516868591309,pytorch_naive
128,128,torch.float32,0.00020734071731567382,0.0010521650314331056,pytorch_scaled_dot_product_attention
128,256,torch.bfloat16,0.00010095834732055664,0.0005130887031555176,triton_kernel
128,256,torch.bfloat16,0.00011600255966186524,0.0005302548408508301,pytorch_naive
128,256,torch.bfloat16,0.00019692182540893556,0.0012972116470336913,pytorch_scaled_dot_product_attention
128,256,torch.float16,9.496212005615235e-05,0.00033063888549804686,triton_kernel
128,256,torch.float16,0.0001567721366882324,0.0004272937774658203,pytorch_naive
128,256,torch.float16,0.0002092123031616211,0.0006179094314575195,pytorch_scaled_dot_product_attention
128,256,torch.float32,0.0001341700553894043,0.00046995878219604494,triton_kernel
128,256,torch.float32,0.00014476776123046876,0.0004163384437561035,pytorch_naive
128,256,torch.float32,0.00017998218536376953,0.0004440188407897949,pytorch_scaled_dot_product_attention
256,16,torch.bfloat16,0.00014845132827758789,0.0005078792572021484,triton_kernel
256,16,torch.bfloat16,0.00027463436126708987,0.0009348750114440918,pytorch_naive
256,16,torch.bfloat16,0.00021543502807617188,0.0006378173828125,pytorch_scaled_dot_product_attention
256,16,torch.float16,6.082057952880859e-05,0.0003254532814025879,triton_kernel
256,16,torch.float16,0.00014944076538085936,0.0006714582443237305,pytorch_naive
256,16,torch.float16,0.0002093791961669922,0.0008329629898071289,pytorch_scaled_dot_product_attention
256,16,torch.float32,0.00010584592819213867,0.0005805015563964844,triton_kernel
256,16,torch.float32,0.0001515507698059082,0.0005860090255737305,pytorch_naive
256,16,torch.float32,0.00022238492965698242,0.0006878972053527832,pytorch_scaled_dot_product_attention
256,32,torch.bfloat16,6.612539291381836e-05,0.00043497085571289065,triton_kernel
256,32,torch.bfloat16,0.00016139745712280275,0.0004559040069580078,pytorch_naive
256,32,torch.bfloat16,0.00026556253433227537,0.0008226513862609863,pytorch_scaled_dot_product_attention
256,32,torch.float16,6.085634231567383e-05,0.00033228397369384767,triton_kernel
256,32,torch.float16,0.00019626617431640626,0.0007164120674133301,pytorch_naive
256,32,torch.float16,0.0002402663230895996,0.0005953431129455567,pytorch_scaled_dot_product_attention
256,32,torch.float32,6.394386291503906e-05,0.00035393238067626953,triton_kernel
256,32,torch.float32,0.0001535654067993164,0.0004942536354064942,pytorch_naive
256,32,torch.float32,0.00018827915191650392,0.000510561466217041,pytorch_scaled_dot_product_attention
256,64,torch.bfloat16,0.00014209747314453125,0.0005052924156188965,triton_kernel
256,64,torch.bfloat16,0.00016896724700927735,0.0006850838661193847,pytorch_naive
256,64,torch.bfloat16,0.0002206563949584961,0.0007548093795776367,pytorch_scaled_dot_product_attention
256,64,torch.float16,0.0001417398452758789,0.0004957914352416992,triton_kernel
256,64,torch.float16,0.00015331506729125975,0.0006525754928588867,pytorch_naive
256,64,torch.float16,0.00020794868469238282,0.0007429003715515136,pytorch_scaled_dot_product_attention
256,64,torch.float32,0.00010015964508056641,0.00037083625793457033,triton_kernel
256,64,torch.float32,0.00018863677978515626,0.0007136821746826172,pytorch_naive
256,64,torch.float32,0.00017772912979125978,0.000657951831817627,pytorch_scaled_dot_product_attention
256,128,torch.bfloat16,6.15239143371582e-05,0.0005809307098388672,triton_kernel
256,128,torch.bfloat16,0.00016198158264160156,0.0006807327270507812,pytorch_naive
256,128,torch.bfloat16,0.00021570920944213867,0.000758671760559082,pytorch_scaled_dot_product_attention
256,128,torch.float16,6.181001663208008e-05,0.0006194829940795899,triton_kernel
256,128,torch.float16,0.0001558065414428711,0.0005051851272583008,pytorch_naive
256,128,torch.float16,0.0002961874008178711,0.0009450078010559082,pytorch_scaled_dot_product_attention
256,128,torch.float32,6.40869140625e-05,0.0004184126853942871,triton_kernel
256,128,torch.float32,0.00019752979278564453,0.0008626341819763184,pytorch_naive
256,128,torch.float32,0.00018514394760131835,0.0006126046180725097,pytorch_scaled_dot_product_attention
256,256,torch.bfloat16,6.504058837890625e-05,0.00048487186431884767,triton_kernel
256,256,torch.bfloat16,0.0001625537872314453,0.0004957079887390137,pytorch_naive
256,256,torch.bfloat16,0.00021473169326782226,0.0008648276329040527,pytorch_scaled_dot_product_attention
256,256,torch.float16,0.00012879371643066407,0.0005301952362060547,triton_kernel
256,256,torch.float16,0.0001616358757019043,0.000714254379272461,pytorch_naive
256,256,torch.float16,0.00021072626113891602,0.0006209969520568848,pytorch_scaled_dot_product_attention
256,256,torch.float32,0.00014318227767944335,0.00047289133071899415,triton_kernel
256,256,torch.float32,0.00014690160751342773,0.0006621003150939942,pytorch_naive
256,256,torch.float32,0.00018601417541503907,0.0005243897438049316,pytorch_scaled_dot_product_attention
512,16,torch.bfloat16,0.0001422882080078125,0.0005540847778320312,triton_kernel
512,16,torch.bfloat16,0.0002348184585571289,0.0007148265838623046,pytorch_naive
512,16,torch.bfloat16,0.00023170709609985352,0.0006990194320678711,pytorch_scaled_dot_product_attention
512,16,torch.float16,8.965730667114258e-05,0.0004794478416442871,triton_kernel
512,16,torch.float16,0.00016287565231323242,0.0005460262298583984,pytorch_naive
512,16,torch.float16,0.00021600723266601562,0.0007444620132446289,pytorch_scaled_dot_product_attention
512,16,torch.float32,8.454322814941407e-05,0.0004417657852172852,triton_kernel
512,16,torch.float32,0.00015469789505004883,0.0004781961441040039,pytorch_naive
512,16,torch.float32,0.00018748044967651368,0.0008020877838134765,pytorch_scaled_dot_product_attention
512,32,torch.bfloat16,6.788969039916992e-05,0.000674128532409668,triton_kernel
512,32,torch.bfloat16,0.0001682281494140625,0.0007374286651611328,pytorch_naive
512,32,torch.bfloat16,0.00021501779556274415,0.0008073329925537109,pytorch_scaled_dot_product_attention
512,32,torch.float16,6.47425651550293e-05,0.000669407844543457,triton_kernel
512,32,torch.float16,0.0001551508903503418,0.0007210254669189453,pytorch_naive
512,32,torch.float16,0.00020874738693237304,0.00067596435546875,pytorch_scaled_dot_product_attention
512,32,torch.float32,6.542205810546874e-05,0.00044988393783569337,triton_kernel
512,32,torch.float32,0.00014570951461791992,0.0005702614784240722,pytorch_naive
512,32,torch.float32,0.00017828941345214843,0.0007420897483825684,pytorch_scaled_dot_product_attention
512,64,torch.bfloat16,0.0001439213752746582,0.0005548596382141113,triton_kernel
512,64,torch.bfloat16,0.0001640915870666504,0.0007490277290344238,pytorch_naive
